From/to,deport,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
127,8276,3044,6574,5843,2303,6818,6613,5812,8423,7680,4383,11324,10951,13212,10292,11040,3500,5274,4777,9041,4954,4778,15028,15043,10908,12075,17537,9333,17308,5010,6336,3540,4862,5695,11462,15646,10271,11032,15034,10821,12388,9164,10441,14022,13806,13173,9020,9807,17923,11511,3169,2004,1140,5203,4051,6950,11745,6828,5543,8740,10492,12454,12025,9131,4451,7745,9578,11776,8531,6048,10053,17329,13782,13555,15878,1184,6608,3767,4030,11436,3550,3767,3359,2161,2212,2272,5207,4797,7692,6365,2637,6207,7571,8098,8427,5066,5236,5560,5559,6755,8926,8606,11662,9584,10030,10112,10433,10214,9093,12912,12444,14433,14586,17564,17565,18446,25686,21078,19576,18491,19029,19076,20141,18933,17392,14634,1232,0,3073,3295,3023,3377,3181,3726,4154,5075,3816,4285,5790,5738
128,5666,3683,5893,5162,4822,6137,7847,6511,10958,10200,7206,13864,13490,14726,11806,13580,1025,2799,6648,11580,1882,6649,14347,19239,10095,13255,20077,10847,19848,6699,8026,5230,6551,7385,13152,13036,11310,12128,16724,13760,15194,10905,11626,16562,16345,15712,10534,11322,20610,12691,4168,4908,2285,2728,3370,4340,11064,4219,4862,11275,13031,14993,13539,10645,7642,7064,11092,14316,10082,7738,11743,20015,16321,16242,20073,3676,3998,1292,5901,12950,1344,1292,1284,3052,3103,3163,7746,7336,10231,8904,5176,8746,10110,10638,10966,7605,7776,8079,8078,9294,11465,11145,14201,12123,12570,12652,12972,12753,11632,15451,14983,16972,17125,20103,20104,20985,28226,23617,22115,21030,21568,21615,22680,21472,19931,17174,3752,3575,0,5517,5562,5916,5720,6266,6693,7614,6638,5763,6866,6918
129,10747,5604,8651,8403,3799,9378,8915,8482,6405,7802,2933,9311,8937,12017,12594,9027,5972,7746,6857,7028,7425,6858,16620,16113,15638,14377,15524,11635,15295,5047,4067,3309,4899,3590,9356,19050,7133,8624,12929,8412,9977,6756,7450,12009,11792,11159,11322,12110,20226,13813,5729,3253,3800,7675,6611,9421,13337,9300,8103,6722,8478,10440,13676,11433,4489,10305,11880,9365,6122,3943,7948,19631,11768,15858,16947,2163,9079,6238,5526,13738,6022,6238,5830,3430,3379,3318,2799,2388,5280,3956,693,3799,5160,5690,6018,3052,3223,6140,6139,4741,6912,6592,9648,7570,8017,8099,8420,8200,6688,10898,10430,12025,12178,15550,15551,16432,23673,19064,17562,16477,17016,17062,18127,16919,15378,12621,3792,3130,5545,0,344,50,1167,1711,2140,2666,2366,1495,2611,2663
130,10403,5260,8307,8059,3454,9034,8571,8138,6061,7458,2589,8966,8593,11672,12250,8682,5627,7402,6513,6683,7081,6513,16276,15768,15294,14032,15179,11290,14950,5570,4590,3832,5422,4113,9880,17773,7911,8672,13452,8461,10030,6805,8081,11664,11448,10815,10977,11765,19881,13469,5385,2908,3456,7330,6267,9077,12993,8956,7759,6378,8134,10096,13331,11088,4144,9960,11536,9418,6171,4466,8471,19286,11423,15513,16602,2514,8735,5894,5181,13394,5677,5894,5486,3846,3795,3734,2848,2437,5334,4005,348,3848,5213,5739,6067,2708,2878,5795,5794,4396,6567,6248,9304,7226,7672,7754,8075,7856,6735,10554,10086,12074,12226,15206,15206,16088,23328,18720,17217,16133,16671,16717,17783,16575,15034,12276,3448,2785,5200,786,0,597,823,1367,1795,2715,2021,2018,3431,3379
131,10771,5628,8675,8426,3822,9402,8939,8505,6429,7826,2957,9334,8961,12040,12618,9050,5995,7770,6880,6513,7449,6881,16644,16136,15662,14400,15547,11658,15318,5070,4090,3332,4922,3613,9380,19073,7683,8445,12952,8233,9797,6577,7473,12032,11816,11183,11345,12133,20249,13837,5752,3276,3824,7698,6635,9445,13361,9323,8126,6746,7964,10464,13699,11456,4512,10328,11903,9186,5943,3966,7971,19654,11791,15881,16970,2186,9103,6262,5549,13762,6045,6262,5854,3453,3402,3342,2620,2209,5101,3777,716,3620,4981,5511,5839,3076,3246,6163,6162,4344,6398,6078,9134,7056,7502,7584,7905,7686,6509,10384,9916,11846,11998,15036,15037,15918,23158,18550,17048,15963,16501,16548,17613,16405,14864,12106,3816,3153,5568,286,368,0,1190,1417,1768,2487,2389,1518,2634,2686
132,11066,5923,8970,8722,4118,9697,9234,8800,5238,6635,2810,8144,7770,10850,12913,7860,6290,8065,7176,5860,7744,7176,16939,14946,15957,14696,14357,11954,14128,6502,4898,4782,6354,5045,9905,18436,7442,8196,12658,7985,9207,6328,7605,10842,10625,9992,11640,12428,20544,14132,6048,3571,4119,7993,6930,9740,13656,9619,8422,5556,7311,9273,12508,11752,4365,10623,12198,8596,5695,5398,8497,19949,10601,16176,15780,3177,9398,6557,5844,12238,6340,6557,6149,4509,4458,4397,2371,1961,4511,3790,1488,3372,4390,5270,5599,1885,2056,6458,6458,3574,5745,5425,8481,6403,6850,6932,7252,7033,5912,9731,9263,11778,11931,14383,14384,15265,22506,17898,16395,15310,15848,15895,16960,15752,14211,11454,4111,3448,5863,1842,1383,1551,0,833,973,1891,2666,2485,2954,2902
133,10673,5530,8577,8329,3725,9304,8841,8408,5452,6848,1993,8357,7984,11063,12520,8073,5898,7672,6783,6074,7351,6783,16546,15159,15564,14303,14570,11561,14341,6317,5111,4389,6169,4860,10627,18043,7655,8410,12872,8198,9420,6542,7818,11055,10838,10206,11248,12035,20151,13739,5655,3178,3726,7600,6537,9347,13263,9226,8029,5769,7524,9486,12722,11359,3548,10230,11806,8809,5908,5213,9219,19556,10814,15783,15993,2784,9005,6164,5452,12452,5948,6164,5756,4116,4065,4004,2585,2174,4724,4004,1095,3585,4604,5483,5812,2098,2269,6065,6065,3787,5958,5638,8694,6616,7063,7145,7466,7246,6125,9944,9477,11992,12144,14596,14597,15478,22719,18111,16608,15524,16062,16108,17173,15966,14424,11667,3718,3055,5470,1534,990,1344,213,0,1186,2104,1708,2698,3168,3116
134,11542,6399,9673,9198,4594,9998,8330,7896,4483,5880,2054,7388,7015,10094,12236,7104,6767,8541,6272,4858,8220,6272,16035,14190,16231,13791,13601,11049,13372,7186,4673,5258,7038,5729,10028,18912,6687,7454,12781,8107,8452,6451,7881,10086,9870,9237,10736,11524,18644,13228,6524,4047,4595,8470,7406,10216,12752,10095,8898,4800,6308,8518,11753,10847,3610,11467,11294,7840,5470,5333,8619,19045,9845,15272,15024,3653,9874,7033,5861,11483,6817,7033,6625,4985,4934,4874,2146,1736,3755,3035,1964,2228,3635,4514,4843,1130,1300,5554,5553,2818,4742,4422,7478,5400,5847,5929,6250,6030,5156,8728,8261,11023,11176,13381,13381,14262,21503,16895,15392,14308,14846,14892,15957,14750,13209,10451,4587,3924,6339,2368,1860,2213,1824,1309,0,831,3582,3011,2730,2678
135,12695,7552,9486,10169,5746,9812,8143,7710,4296,5693,1868,7201,6828,9908,12050,6917,7919,9693,6085,4474,9373,6085,15848,14003,16045,13605,13414,10863,13185,7594,4708,5856,7446,6010,9397,20065,6056,6823,12150,7477,7821,5820,7251,9899,9683,9050,10550,11337,18457,13041,7676,4852,5748,9622,8558,11369,12565,11247,10266,4613,5925,8331,11566,10660,3423,11280,11108,7210,6228,5368,7989,18858,9658,15085,14838,4805,11026,8186,5675,11296,7969,8186,7778,6137,6086,6026,2182,1771,3125,2404,3117,2809,3004,3884,4212,943,1113,5367,5367,2305,4359,4039,7095,5017,5464,5546,5866,5647,4526,8345,7877,10392,10545,12997,12998,13879,21120,16511,15009,13924,14462,14509,15574,14366,12825,10067,5740,5077,7492,2935,3012,2644,2219,2461,1431,0,3395,3144,2765,2713
136,11456,5591,8290,8390,3328,8615,6946,6513,5443,4700,1519,9458,9084,12164,10625,9173,6680,8454,4888,7174,8134,4888,14651,15376,14848,12408,15670,9666,15441,6647,6399,5178,6499,5922,11689,18826,8756,9523,15261,10177,10521,8520,9470,12155,11939,11306,9353,10140,18256,11844,5716,2492,4163,8383,6598,10130,11368,10008,8090,5760,8625,10587,12358,9464,1736,10083,9911,9909,7560,6275,10280,17662,11915,13888,16210,3566,9788,6947,3813,11769,6730,6947,6539,4898,4848,4787,4236,3826,5825,5104,2157,5509,5704,6584,6912,2579,2478,4170,4170,4888,7058,6739,9795,7717,8163,8245,8566,8347,7226,11045,10577,13092,13245,15697,15698,16579,23820,19211,17709,16624,17162,17209,18274,17066,15525,12767,3779,3838,6253,2595,2052,2405,1775,1592,2748,3248,0,3827,4819,4767
137,10996,6547,9594,9346,4742,10321,10102,9669,7146,8543,4717,10051,9678,12757,13781,9767,6220,7994,8044,7409,7674,8044,17807,16853,15886,15564,16264,12822,16035,4806,3280,3052,4658,3349,9115,18808,5671,6489,11350,6676,8552,5020,5987,12749,12532,11900,12509,13296,21412,15000,6672,4439,4595,7923,7554,8495,14524,9548,9046,7463,8859,11180,14416,12620,6273,11248,13067,7872,4386,3702,7707,20818,12508,17044,17687,3230,8781,6487,6469,14146,6270,6487,6053,3580,3529,3469,1455,1712,4424,3007,2172,2738,4303,4754,5083,3793,3963,7326,7326,5240,7293,6973,9984,7951,8398,8480,8348,8129,6461,10827,10359,11065,11218,15479,15480,16361,23601,18993,17491,16406,16944,16991,18056,16848,15307,12549,4735,4073,5793,1480,1824,1530,2438,2828,2663,3382,3845,0,1148,1200
138,12197,7911,10958,10710,6106,11685,11222,10789,7612,9009,4955,10517,10144,13223,14901,10233,7421,9196,9164,7317,8875,9164,18927,17319,17088,16684,16730,13942,16501,5188,2113,4159,5040,3415,7923,19191,4504,5323,10676,6003,7317,4346,4821,13215,12999,12366,13629,14416,22532,16120,8036,5560,5796,9124,8918,9470,15644,10750,10410,7929,8767,11647,14882,13740,6511,12612,14187,6706,3277,2774,6514,21938,12974,18164,18153,4431,9756,7688,7833,14612,7472,7688,6718,4728,4677,4616,923,1189,3576,2160,3373,1891,3456,3957,4286,4031,4201,8446,8446,5118,7201,6881,9684,7859,8306,8388,8049,7829,6161,10527,8919,10348,10501,14623,14624,15505,22746,18137,16635,16107,16645,16691,17200,16549,15008,12250,6099,5437,6994,2681,3025,2731,2711,3102,2936,2785,4653,1148,0,52
139,11991,7963,11010,10762,6158,11737,11274,10841,7560,8957,4903,10465,10092,13171,15314,10181,7473,9248,9216,7265,8927,9216,18979,17267,17140,16736,16678,13994,16449,5136,2061,4330,4988,3363,7871,19139,4452,5271,10624,5951,7265,4294,4769,13163,12947,12314,13681,14468,22584,16172,8088,5612,5848,9176,8970,9641,15696,10544,10462,7877,8715,11595,14830,13792,6459,12664,14239,6654,3225,2722,6462,21990,12922,18216,18101,4483,9926,7740,7885,14560,7524,7740,6888,4898,4847,4787,871,1137,3524,2108,3425,1839,3404,3905,4234,3979,4149,8498,8498,5066,7149,6829,9632,7807,8254,8336,7997,7777,6109,10475,8867,10296,10449,14571,14572,15453,22694,18085,16583,16055,16593,16639,17148,16497,14956,12198,6151,5489,7046,2733,3077,2783,2763,3154,2988,2733,4705,1200,52,0
